,year,january,february,march,april,may,june,july,augest,september,october,november,december,Total,Arrivals
0,2014,1.88,1.849,1.716,1.52,1.337,1.47,1.712,1.706,1.4880000000000002,1.636,1.8530000000000002,2.069,20.236,7679099
1,2015,1.945,1.8769999999999998,1.7830000000000001,1.609,1.4909999999999999,1.4980000000000002,1.8840000000000001,1.7519999999999998,1.5730000000000002,1.621,1.912,2.126,21.071,8027133
2,2016,2.032,2.001,1.9380000000000002,1.726,1.726,1.587,2.125,1.875,1.744,1.8119999999999998,2.11,2.439,23.115,8804411
3,2017,2.32,2.289,2.224,2.211,1.901,2.013,2.295,2.158,2.149,2.1830000000000003,2.549,3.0180000000000002,27.310000000000002,10035803
4,2018,2.7910000000000004,2.76,2.648,2.379,1.889,2.125,2.468,2.37,2.101,1.9980000000000002,1.9980000000000002,2.755,28.282,10557976
5,2019,2.575,2.521,2.331,2.4659999999999997,1.983,2.316,2.6460000000000004,2.504,2.359,2.401,2.7769999999999997,3.179,30.058,10930355
6,2020,2.833,2.551,0.784,0.009000000000000001,0.012,0.027000000000000003,0.040999999999999995,0.064,0.094,0.013000000000000001,0.19,0.24100000000000002,6.859000000000001,2384364
